2024 Artistic_Gymnastics Canoe_Slalom Swimming
Artistic_Gymnastics Womens_All_Around Womens_Floor_Exercise Womens_Uneven_Bars Womens_Vault
Canoe_Slalom Womens_Canoe_Single Womens_Kayak_Single Mens_Canoe_Sinle
Swimming Mens_200m_Breaststroke Mens_200m_Butterfly Mens_200m_Individual_Medley
Womens_All_Around Simone_Biles:USA Rebeca_Andrade:Brazil Sunisa_Lee:USA
Womens_Floor_Exercise Rebeca_Andrade:Brazil Simone_Biles:USA Ana_Barbosu:Romania
Womens_Uneven_Bars Kaylia_Nemour:Algeria Qiyuan_Qiu:China Sunisa_Lee:USA
Womens_Vault Simone_Biles:USA Rebeca_Andrade:Brazil Jade_Carey:USA
Womens_Canoe_Single Jessica_Fox:Australia Elena_Lilik:Germany Evy_Leibfarth:USA
Womens_Kayak_Single Jessica_Fox:Australia Klaudia_Kinga_Zwolinska:Poland Kimberley_Woods:Great_Britain
Mens_Canoe_Sinle Nicolas_Gestin:France Adam_Burgess:Great_Britain Matej_Benus:Slovakia
Mens_200m_Breaststroke Leon_Marchand:France Izaac_Stubblety-Cook:Australia Caspar_Corbeau:Netherlands
Mens_200m_Butterfly Leon_Marchand:France Kristof_Milak:Hungary Ilya_Kharun:Canada
Mens_200m_Individual_Medley Leon_Marchand:France Duncan_Scott:Great_Britain Shun_Wang:China
